Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/02/2021,AQS,60730001,1,0.038,ppm,35,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/03/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/04/2021,AQS,60730001,1,0.039,ppm,36,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/05/2021,AQS,60730001,1,0.034,ppm,31,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/06/2021,AQS,60730001,1,0.028,ppm,26,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/07/2021,AQS,60730001,1,0.031,ppm,29,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/08/2021,AQS,60730001,1,0.036,ppm,33,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/09/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/10/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/11/2021,AQS,60730001,1,0.034,ppm,31,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/12/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/13/2021,AQS,60730001,1,0.035,ppm,32,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/14/2021,AQS,60730001,1,0.034,ppm,31,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/15/2021,AQS,60730001,1,0.038,ppm,35,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/16/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/17/2021,AQS,60730001,1,0.043,ppm,40,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/18/2021,AQS,60730001,1,0.037,ppm,34,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/19/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/20/2021,AQS,60730001,1,0.036,ppm,33,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/21/2021,AQS,60730001,1,0.038,ppm,35,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/22/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/23/2021,AQS,60730001,1,0.036,ppm,33,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/24/2021,AQS,60730001,1,0.043,ppm,40,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/25/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/26/2021,AQS,60730001,1,0.042,ppm,39,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/27/2021,AQS,60730001,1,0.043,ppm,40,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/28/2021,AQS,60730001,1,0.042,ppm,39,Chula Vista,14,82.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/29/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/30/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/31/2021,AQS,60730001,1,0.037,ppm,34,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/01/2021,AQS,60730001,1,0.02,ppm,19,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/02/2021,AQS,60730001,1,0.029,ppm,27,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/03/2021,AQS,60730001,1,0.029,ppm,27,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
