pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,state,county,tract,GEOID,p_white,p_black,p_asian,p_hispanic,p_poverty,STATE,COUNTY,TRACT,centroid_lon,centroid_lat,region
2746.0,211023.0,52.5,2282.0,36.0,136.0,300.0,46.0,Census Tract 1; San Diego County; California,06,073,000100,06073000100,0.8310269482884195,0.013109978150036417,0.049526584122359794,0.10924981791697014,0.016751638747268753,06,073,000100,-117.18723594054055,32.75190502702703,coastal
2376.0,110476.0,49.9,2082.0,0.0,136.0,82.0,210.0,Census Tract 2.01; San Diego County; California,06,073,000201,06073000201,0.8762626262626263,0.0,0.05723905723905724,0.034511784511784514,0.08838383838383838,06,073,000201,-117.17326226213592,32.752900524271844,coastal
4019.0,121264.0,41.9,3297.0,29.0,184.0,769.0,158.0,Census Tract 2.02; San Diego County; California,06,073,000202,06073000202,0.8203533217218213,0.00721572530480219,0.0457825329684001,0.19134112963423738,0.039313262005474,06,073,000202,-117.17477801809954,32.74502199095023,coastal
2487.0,79605.0,39.6,1771.0,22.0,131.0,531.0,386.0,Census Tract 3.01; San Diego County; California,06,073,000301,06073000301,0.7121029352633695,0.008845999195818254,0.052673904302372336,0.2135102533172497,0.15520707679935666,06,073,000301,-117.16601888461538,32.74521629230769,coastal
2925.0,89850.0,44.0,2135.0,113.0,188.0,554.0,277.0,Census Tract 3.02; San Diego County; California,06,073,000302,06073000302,0.7299145299145299,0.03863247863247863,0.06427350427350427,0.1894017094017094,0.0947008547008547,06,073,000302,-117.15980848979592,32.74442907142857,coastal
4079.0,89565.0,33.5,2246.0,43.0,560.0,1346.0,305.0,Census Tract 4; San Diego County; California,06,073,000400,06073000400,0.5506251532238293,0.01054179946065212,0.13728855111546948,0.3299828389311106,0.07477322873253249,06,073,000400,-117.1626622451613,32.751952599999996,coastal
2828.0,101875.0,40.5,1871.0,43.0,153.0,607.0,141.0,Census Tract 5; San Diego County; California,06,073,000500,06073000500,0.6615983026874116,0.015205091937765204,0.0541018387553041,0.21463932107496464,0.04985855728429986,06,073,000500,-117.15331463535912,32.75766437569061,coastal
3111.0,99161.0,41.3,2315.0,196.0,229.0,535.0,146.0,Census Tract 6; San Diego County; California,06,073,000600,06073000600,0.744133719061395,0.06300225008036,0.07360977177756349,0.1719704275152684,0.046930247508839604,06,073,000600,-117.1536319796748,32.7540692398374,coastal
4371.0,109484.0,37.9,3179.0,77.0,279.0,1049.0,315.0,Census Tract 7; San Diego County; California,06,073,000700,06073000700,0.7272935255090368,0.017616106154198122,0.06382978723404255,0.23999084877602378,0.0720658888126287,06,073,000700,-117.15120045794392,32.745403831775704,coastal
5105.0,92348.0,36.8,3349.0,460.0,324.0,1316.0,372.0,Census Tract 8; San Diego County; California,06,073,000800,06073000800,0.6560235063663076,0.0901077375122429,0.06346718903036239,0.25778648383937314,0.07286973555337904,06,073,000800,-117.14193149180328,32.74530227868853,coastal
3951.0,106133.0,35.1,2497.0,264.0,154.0,1177.0,538.0,Census Tract 9.01; San Diego County; California,06,073,000901,06073000901,0.6319919007846115,0.06681852695520121,0.03897747405720071,0.2978992660086054,0.13616805871931156,06,073,000901,-117.14010861764706,32.75132157352942,coastal
